comment,likes_count,stance_llama_8b
what a disgrace joe biden is,2,CONSERVATIVE
what the hell is everybody so f happy about,2,CONSERVATIVE
well they had all the criminals in one room at least all know who they are,2,CONSERVATIVE
i wish they had started chanting trump,2,CONSERVATIVE
ironic biden talks about democracy and freedom when he wants total governmental control of the 2nd amendment raids political opponents reinstate unconstitutional laws like roe v wade and threatened the us supreme court absolutely sickening how people still support this monster,2,CONSERVATIVE
just imagine four more years of this he craps out and kackeling kamala is in office god help usnovcant come fast enough,2,CONSERVATIVE
biden dont decide for israel two state who the hell are you to make a decision on behalf of israel god bless israel in the mighty name of jesus christ amen and amen from safrica amen,2,CONSERVATIVE
no mention of asean in relation to china,2,CONSERVATIVE
where is mike tyson when ya need him,2,OTHER
from the sanity of australia to president biden real measurable achievements and promises which we know he will keep,2,LIBERAL
why are all these businesses continuing to close and file bankruptcies why is food sky high why are homes so expensive why is biden such a liar when he has destroyed our borders and economy,2,CONSERVATIVE
you have to respect our first lady for waking up to that every morning few are that brave,2,CONSERVATIVE
is this a state of the union or a campaign speech sure sounds like the latter did he just threaten the supreme court justices sounded like it to me,2,CONSERVATIVE
what he mentions trump policies takes credit for them and trashes trump,2,CONSERVATIVE
divisive joe on adderall,2,CONSERVATIVE
bernie sanders for president,2,LIBERAL
50 years of corruption,2,CONSERVATIVE
mtg represents her constituents she is the voice and character of her voters i think ill stay out of that part of georgia more dangerous than south side of chicago,2,CONSERVATIVE
hey joe you are a model catholic you have a clear pathway to heaven,2,CONSERVATIVE
shame on us,2,CONSERVATIVE
trumps brain is turning into mush and every penny you send him will go to paying the selfproclaimed billionaires legal bills,2,CONSERVATIVE
what were they thanking him for,2,CONSERVATIVE
sleepy joe you let the country down,2,CONSERVATIVE
fjb,2,CONSERVATIVE
bidens speech was exhibitionistic like a circus but katie britt is a real airhead,2,CONSERVATIVE
you make me very angry very angry indeed,2,CONSERVATIVE
angry old man,2,CONSERVATIVE
i cant watch probably a giant train wreck,2,CONSERVATIVE
katie you had your speech made up ahead of time it sounds like you were talking about trump all the way,2,CONSERVATIVE
incredible speech poor rump i wonder if he still wants to debate he better start practicing,2,CONSERVATIVE
this man is just too old seriously he would not respond well any moment of pressure 11535,2,CONSERVATIVE
lies lies and more lies,2,OTHER
who careswhy are we covering this,2,CONSERVATIVE
i never voted or liked biden fjb but he is making somee good points,2,CONSERVATIVE
interesting speech but the gops response had more substance,2,CONSERVATIVE
proverbs 616 king james version,2,OTHER
biden is done finito la comedy,2,CONSERVATIVE
it very much seems the house is divided,2,CONSERVATIVE
train wreck,2,CONSERVATIVE
fire joe he is the worst,2,CONSERVATIVE
and these are the criminals from both sides deciding americas fate disgusting,2,CONSERVATIVE
hes high,2,CONSERVATIVE
wow he killed it trump would have been lost the entire time,2,CONSERVATIVE
woow kamala is actually real 4 more years of this guy would be an absolute disaster,2,CONSERVATIVE
he fakes being unable,2,CONSERVATIVE
trump 2024,2,CONSERVATIVE
i cant listen to him for more than a few seconds the amount of lies and corruption he has perpetrated and perpetuated throughout our country is all i think about when i hear him it makes me rise to 100 on the inside with all of my heart and soul i hate this man for what he has done is treasonous and evil the propaganda the mishandling and free will with our tax dollars looking at his watch during a salute repeatedly at every salute to the dead and the list is endless he deserves to be charged with treason 100 times over and everyone who has allowed his masters to corrupt them as well,2,OTHER
creep,2,OTHER
we all know biden is the puppet obama is actually calling the shots,2,CONSERVATIVE
what a tool,2,CONSERVATIVE
im voting trump but this woman was serving some serious alyssa milano sans arms of the angel background music,2,CONSERVATIVE
hes a clone,2,CONSERVATIVE
hannity is trying his best to spin everything even though speaker mike johnson was clapping regarding putinukraine,2,CONSERVATIVE
you hypocrites you brood of vipers you will not escape your judgement,2,CONSERVATIVE
why are you clapping,2,CONSERVATIVE
biden wasnt elected he was installed like a toilet,2,CONSERVATIVE
why wasnt president biden wearing his wedding ring,2,CONSERVATIVE
that was the funniest state of the union address ever known in the history of the united states by an illegitimate commander in chief,1,CONSERVATIVE
even children in ukraine collect money for the armed forces and superrich americans trumpists johnsons elon musk are afraid of putin,1,LIBERAL
what an embarrassment,1,CONSERVATIVE
america comes first before ukraine he doesnt care about usa he received a strong border and destroyed it the economy is in threads we need president trump,1,CONSERVATIVE
magatrump behind bars america supports it,1,CONSERVATIVE
president trump 2024,1,CONSERVATIVE
they should have had trump do the rebuttal,1,CONSERVATIVE
history is watching the absolute worst president ever bumbling biden the state of confusion address,1,CONSERVATIVE
wow pelosi looks old,1,CONSERVATIVE
wow kamela stood up for herself,1,LIBERAL
keep spending its the democrat way,1,CONSERVATIVE
what real job did joe biden have none politics he is corrupt he doesnt have a leg to stand on he wont win he is frail and weak leader,1,CONSERVATIVE
4 years and he still hasnt figured out a thing,1,CONSERVATIVE
joe gotta go worst president in the history of the world,1,CONSERVATIVE
this guy just compared our current political debates to the beginning of world war ii remember that we were drawn into world war ii because japan attacked us fdr had been trying to goad america into the war long before thatwith the help of british propagandistsbut thankfully the american people saw through it and wouldnt permit it before that pointbut who the heck have we been attacked by now putin nope illegal aliens yesbut biden effectively took their side in this speech biden effectively declared war on half of america for no other reason than because that half of america has legitimate political views and concerns that oppose his own this should chill every american to their bones,1,CONSERVATIVE
my country feedback usa todays especially important film offering masada masada is an american television miniseries that aired on abc in april 1981 advertised by the network as an abc novel for television it was a fictionalized account of the historical siege of the masada citadel in israel by legions of the roman empire in ad 73 the tv series script is based on the 1971 novel the antagonists by ernest gann with a screenplay written by joel oliansky the siege ended when the roman armies entered the fortress only to discover the mass suicide by the jewish defenders when defeat became imminent internet search,1,OTHER
biden tried proving at the state of the union that he was up to the job he just proved he was a jerk,1,CONSERVATIVE
my undies just got soaking wet thanks fox news,1,CONSERVATIVE
ill be a disgrace if trump becomes president again after he tried to steal the results in 2020 and 91 criminal charges now one of his best friends is viktor orbes the hungarian dictator people what are you waiting for to see the reality,1,LIBERAL
vote,1,CONSERVATIVE
dont bother watchingi did its just an angry old man calling half the country enemies,1,CONSERVATIVE
political violence on january 6th give me a break the political violence from the aggressive rioters was way worse on so many levels,1,CONSERVATIVE
we are a republic not a democracy and we need to help are homeless and are fellow americans before sending any more aid to anyother country if need be we need to leave nato and go back to being a neutral country like we were before world war 2,1,CONSERVATIVE
shouting to try to demonstrate some thoughness and sanity all a facade in reality he is nothing more than a corrupt and senile old guy a puppet what a sad sight,1,CONSERVATIVE
he starts speaking at 929,1,OTHER
i watched the speaker of the house the whole time,1,CONSERVATIVE
more like the state of lies i cant believe people are literally clapping and applauding a leader that is aiding another country that is committing a genocide this is just awful and sick,1,LIBERAL
why in gods name did biden guve 58 billion and release rheir most heinous cruminals to iran week later hamas financed for the israeli massacre he is devil truly actions speak reams on this man pure evil,1,CONSERVATIVE
we need to responsiblty have a leader who can speak eloquently a leader who has clean record regarding china and other countries biden needs prosecution on many levels,1,CONSERVATIVE
why did not conservatives swarm this disturbing event to vocalize seems only marjorie tayloe had gumption to,1,CONSERVATIVE
what an embarrassment to america he appears to have his caregiver promoting him did not honor recent young lady who was brutally murdered because of joe bidens loosey goosey illegal migrant laws its outrageous,1,CONSERVATIVE
lol mike johnson trying to hide his clapping under the desk is gold,1,CONSERVATIVE
investing in all americans is code speak for increasing taxes on the middle class to give more free money to the nonworking class to worsen inflation and make home ownership and retirement increasingly impossible this traitor needs to be replaced,1,CONSERVATIVE
what do you reckon the physicians have him hopped on this president on a normal day cant walk five steps or talk for more than five minutes,1,CONSERVATIVE
did the poor excuse for a president just threaten the supreme court justices what the hell is going on with this guy,1,CONSERVATIVE
liar in chief spewing more falsehoods as always,1,LIBERAL
the democrats are a joke,1,CONSERVATIVE
despite all of this overwhelming good news i think we are very near to anarchy me,1,CONSERVATIVE
we should have played the kamala pop up drinking game every time she stands and claps smugly we all take a shot we would have all sounded like biden by the end,1,CONSERVATIVE
usa is doomed if we have 4 more years of this,1,CONSERVATIVE
i commented on a bunch of your comments to try wake you guys up that fox news has been lying to you my comments have been deleted,1,CONSERVATIVE
biden the clown n obama the liar whata team,1,CONSERVATIVE
sadly the world watched this idiot spew his ridiculous lies,1,CONSERVATIVE
tell me where these new jobs are so i can apply,1,CONSERVATIVE
dont people see who he really is wake up humans,1,CONSERVATIVE
a 21 increase in corporation taxes increase what we pay for every product at the register by 21 do people and biden not know that when you raise corporation taxes you raise the pricetax americansconsumers pay at the cash register on every product we buy when you increase corporation taxes,1,CONSERVATIVE
he cant find the stage,1,CONSERVATIVE
so many absolute morons in these comments your gop is in free fall and its delicious to watch,1,CONSERVATIVE
can someone take him to the old folks home and get his diaper changed,1,CONSERVATIVE
he looks soabsent,1,CONSERVATIVE
uniparty,1,CONSERVATIVE
jan 6th darkest of days 20142019 mostly peaceful lick my nuts biden,1,CONSERVATIVE
he slurred from the very beginning,1,CONSERVATIVE
such a liar he taught the 2nd amendment for 12 years really they hopped him up on drugs and he still cant speak,1,CONSERVATIVE
hahahahahaso much fun reading the comment section you can tell the cult are rattled butbutbutsleepy joe cant give speecheshes too old and confused these facts are hurting we prefer the orange idol dumb down speechso we can understand,1,CONSERVATIVE
its truly a mystery those that clap and scream for him have they been living in another country that didnt have a radio or television or internet biden thinks the affordable care act is good heres the problem almost no doctor hospital or lab will accept it and its expensive,1,CONSERVATIVE
fjb,1,CONSERVATIVE
we are a republic not a democracy this man his pills be slippin,1,CONSERVATIVE
the predecessor 2024,1,CONSERVATIVE
it looks like a retirement home,1,CONSERVATIVE
well that sotu was methed up,1,CONSERVATIVE
how many humas murderers crosses our open border nobody knows but guarantee their here,1,CONSERVATIVE
grand slam bless you president biden you earned my vote sharp as a tack,1,LIBERAL
the republicans are supporting communism whats going on here booooooooooo gop,1,CONSERVATIVE
read by 3rd grade its quite late by then,1,CONSERVATIVE
so by staying and not going home is he telling us hes stupid,1,CONSERVATIVE
it sounds like an elementary school booooo yaaaaa clap clap clap boooo yaaaaaa jeeze,1,CONSERVATIVE
good morning sir please to meet you today keep it and going on sir,1,OTHER
when did he teach the second amendment for 12 years,1,CONSERVATIVE
it would be a historic day to see the first american president to go to prison for treason and corruption,1,OTHER
that is such a weird behavior in the beginning,1,LIBERAL
so is the blm riots the antifa and fbi agents that were proven to have pushed people into the capital are what exactly thats not political violence and a blatant insurrection but some people walked around the capital when they were let inside after antifa pushed the gates down and ran to the door and thats an insurrection right,1,OTHER
total political rally and the only one hell ever have because these are the only people that cheer for him ever put them in front of a crowd and all theyll do is heckle him which is why he will never do any type of rally,1,CONSERVATIVE
is this for real im cutting the deficit by another trillion dollars by making corporations wealthier,1,CONSERVATIVE
you can tell the bigger lies by kamala harris standing to applaudhow do you know when biden is lying hes talking,1,CONSERVATIVE
since when do you socialize before a state of the union address and wires everybody bending over and talking to him like hes a little kid oh thats right because he acts like one i thought he was going to walk in with an ice cream cone,1,CONSERVATIVE
this was not the state of the union address it was more like a campaign speech biden i dare you to get up and debate with president trump i dont think you can do it because youre worthless weak,1,CONSERVATIVE
я никогда не предам сша я никогда не предам европу и никогда вы должны это слышать никогда я не предам украину,1,OTHER
what a bafoon,1,CONSERVATIVE
who cares about lower prescription costs when we are being invaded with millions of people getting free money food and places to live that are rasing are taxes we already are losing half our pay checks to taxes lower cost on prescription dont matter if our country gets destroyed by a 3rd world war or we are killed by migrant crimes get your priority in order joe people arent as dumb as you think,1,CONSERVATIVE
the reptilian next to the speaker exposed herself a few times during jeckyl s speech,1,OTHER
whatever they pumped biden full of for this speech i want some,1,CONSERVATIVE
its hilarious that all the sudden biden claims to be worried about the border when this problem started 5 years ago all the sudden now hes worried right before the election what a joke a political farse,1,CONSERVATIVE
how can the leader of america stand up there and lie to the american people the people in that room know he is full of bs most people at home watching also know he is full of crap some people at home are watching with a blanket on and candles lit because they cant afford their bills due to bidenomics thanks joe for taking half our paychecks to give it to aliens that hate us and wish us harm and contribute nothing to society but waste,1,CONSERVATIVE
he say bunch of lies last night on thursday night,1,CONSERVATIVE
how many clones do they have of this guy lol why cant he debate trump if he can talk like this why doesnt he sound like the other 95 of the time if you cant debate your opponent you damm sure cant protect this country from other countries that hate us,1,CONSERVATIVE
biden foolish old man im surprised he could stay awake,1,CONSERVATIVE
i tried watching this video but i cant this man is such an asshat he opens his speech by talking about a foreign war we have no business funding i dont know if hes the worst president in history but hes got to be top 3,1,CONSERVATIVE
not 45 minutes into the speech of lies his dose of amphetamines is starting to running out he begins stumbling and slurring words,1,CONSERVATIVE
i had to turn it off i cant stand even looking at that idiot,1,CONSERVATIVE
blah blah blah,1,CONSERVATIVE
but he said the most correct if not the only accurate thing he will say during the entirety historyiswatching and so is god,1,CONSERVATIVE
this is supposed to be the state of the union not the state of the ukraine,1,CONSERVATIVE
i found it very hateful and i dont know what drugs hes on but thats all hes doing is screaming and lying and thats my opinion,1,CONSERVATIVE
lies lies and more lies,1,CONSERVATIVE
from what i see in this circus president putin has nothing to worry about,1,CONSERVATIVE
ive never seen so much evil straight from hell in one room,1,CONSERVATIVE
some women should not wear white,1,CONSERVATIVE
another perfectly appropos opportunity to use one of my favorite elf quotes you sit on a throne of lies,1,CONSERVATIVE
i believe this is the most people that have ever showed for a biden rally,1,CONSERVATIVE
i cannot believe that i used to be a democrat i do not stand for anything this man or the democratic party stands for the only thing i feel theyre doing very well is destroying our beautiful country god help us,1,CONSERVATIVE
joe sounds like he hit a line of cocaine that was found in the white house,1,CONSERVATIVE
why the hell is nagging nancy pelosi there what is her title again,1,CONSERVATIVE
most of what he said was pretty based regardless of how mentally unfit he is,1,CONSERVATIVE
a threat to democracy is a weak incompetent president like joe biden who has allowed thousands upon thousands of deaths in the us he says that legals are killing eachother but yet he has done nothing to stop that either like what get him out of here seriously he has to go,1,CONSERVATIVE
andleave alabama out of this malarkey,1,CONSERVATIVE
we are taking water and tossing it on fires outside our country while our fire burns more violent every day focus on the american people and our needs first,1,LIBERAL
god just look at camila bro she is literally waiting for the opportunity for joe to pass away so she can step in and run this country down to the ground even more,1,CONSERVATIVE
i just threw up in my mouth a little,1,CONSERVATIVE
nothing hes saying makes sense,1,CONSERVATIVE
the lying machine in action,1,CONSERVATIVE
mean angry and just so out of touch,1,CONSERVATIVE
the majority of the state of union address was about trying to blame and attack president trump instead of telling the truth about biden and the lefts horrific and destructive policies republicans should have stood up and walked out of the building the moment the first lie came out of bidens mouth i saw speaker johnson shake his head so many times in complete disgust because of joes dishonest and delusionally insanè statements and i too felt embarrassed from having to listen to such blatant lies from such a foolish corrupt and incompetent commanderinchief democrats have become morally bankrupt reprobates like romans 11832 describes and ppl on the left are incapable of being honest and upright and its why america is crumbling to pieces,1,CONSERVATIVE
in the book of revelation the united states of america once mighty lost its hold its reign of power now a distant past,1,CONSERVATIVE
trump 2024 biden has destroyed our country,1,CONSERVATIVE
this man is a walking zombie shame on anyone who reward his incompetence with another four years to do even more damage to our economy and our social structure,1,CONSERVATIVE
pathetic uninspiring very divisive no way your going to be reelected,1,CONSERVATIVE
i would rather watch someone have hemorrhoid surgery than watch his entire speech,1,CONSERVATIVE
kamala looks like a seal dog applauding,1,CONSERVATIVE
lies,1,CONSERVATIVE
he dont give a dam about our country embarrassing president ever wake up america we need our future president trump back 2024 he will make america proud again president trump will take back our country we dont want sleepy joe 4 more years horrible president in the history,1,CONSERVATIVE
he forgot to bring the ice cream machine,1,CONSERVATIVE
when they say x is a threat to our democracy what they really mean is x is a threat to democrats being in power they act like they are the only party that should run this nation disgusting,1,CONSERVATIVE
alot of seels,1,OTHER
what planet does this guy live on what a buffoon,1,CONSERVATIVE
if i were smart id go home now so true,1,CONSERVATIVE
hes right americans are under attack read deuteronomy in your bible and understand these illegal immigrants are here for one reason and one reason only to serve the black master in destroying america i dont believe this is joe biden,1,CONSERVATIVE
having your own baby murdered isnt healthcare and it isnt reproductive rights,1,CONSERVATIVE
holy crap hunter has him turned right up,1,CONSERVATIVE
and why is steve scalise trailing behind this imbecile smiling and acting so giddythis entire government body has become a club of crooks designed to rob the we the people of not only our hard earned money but now of our god given freedoms this corruption and deception of we the people cannot continue as it has under clinton bush obama and the worst last 3 years ever this nothing more than a stagethe largest hypocrite ever prop joe biden along with several of those top villains wearing black robesand we cannot leave out the biggest joke of all vp harris so seriously pathetic unprecedented how much these socalled leaders have hurt our great nation overall god help us if joe biden is shoe horned into office another 4 years,1,CONSERVATIVE
putinists in full attendence here in these comments the denail here is epic,1,CONSERVATIVE
sounds more like a campaign speech than a state of the union,1,CONSERVATIVE
junk fees are annoying but isnt there a difference between making a purchase with a convenience fee tacked on at the end of a transactions and credit card companies charging a late fee that is more than what it costs to instigate collection one is deceptive pricing just include the fee in the price which makes sense to regulate especially in the case of a monopoly like ticketmaster the other is in your credit card agreement known from day one its even called an agreement credit card companies arent moral paragons or anything but it is a business we should normalize not signing agreements and contracts we dont understand rather than having the government regulating what companies do that consumers agree to,1,OTHER
the only danger to democracy is you and your diseased party,1,CONSERVATIVE
sadly 51 of the population if not more are idiots and will actually vote this idiot back in office,1,CONSERVATIVE
they say they are going to raise taxes on billionaires but normally they way they do that is by taxing the ways that they usually make money business owner vs employee what ends up happening is small businesses pay a higher corporate tax rate while the billionaires democrats say they are going after have the best lawyers and accountants who can exploit the ever increasing loopholes in the increasingly complicated tax code when biden says working people it is safe to assume he means people who file a w2 and millionaires and billionaires or the wealthy can safely be assumed to mean business owners,1,CONSERVATIVE
biden is an idiot,1,CONSERVATIVE
all lies hows the drug problem in usa employment everything is going down hunter biden is making lots of money in china billions of dollars is being spent to ukraine while the americans doesnt even have family benefits now i believe fentanyl makes you talk too much,1,CONSERVATIVE
dont try and steal this election either joe you are not our president you have done nothing good for this country people are worse off than ever and our country is in danger because of our border situation,1,CONSERVATIVE
this man is a disgrace and completely sickening abortion is not treatment,1,CONSERVATIVE
yay lets go brandon lets go brandon lets go brandon lets go brandon,1,CONSERVATIVE
joe says give me your money so i can choose how to spend it,1,CONSERVATIVE
all those people cheering him on are really pathetic,1,CONSERVATIVE
sounded more like a wish list than a state of the union address,1,CONSERVATIVE
amazing what some uppers can do for a guy,1,CONSERVATIVE
all lies,1,LIBERAL
wait people clap for him,1,CONSERVATIVE
not what farmers say sorry thats false,1,CONSERVATIVE
after voting for trump twice i will never do it again i wasnt going to vote this time around but after this speech it has me thinking about voting for biden dont like the guy but i hate how much trump whines and complains and only talks about himself he failed to deliver on any policies he made promises on during the campaign i regret giving him a second chance in 2020 and voting for him trump should have let viv become the candidate,1,OTHER
voted for trump twice not a biden fan but i have to give him credit when due he delivered the speech well we need to stop hating the other side and start spending time trying to find a middle ground ever since trump came into politics full grown adults are acting like little kids its okay to disagree and we should disagree but the name calling and each side calling each other unamerican needs to stop just because someone has liberal or conservative views doesnt make them unamerican we all are american my party has really disappointed me lately its lost focus on the country and become a party of trump instead of a party for america we all need to do better,1,OTHER
biden the great divider,1,CONSERVATIVE
last night was a sad frustrating and despicable display of brash diabolical politics for the nation and the world to witness watching the democrats bounce up and down supporting a socialist and corrupt dictator was a national disgrace and embarrassing to watch there was no message for unification but simply a disgraceful delivery of nonsensical and unrelated issues,1,CONSERVATIVE
he hide in the basement and won the election just think hes out he should win in in a landslide joe biden 2024 go get them joe,1,CONSERVATIVE
im speechless the first thing he mentioned is ukraine funding he is so delusional,1,CONSERVATIVE
what a joke america is toast,1,CONSERVATIVE
what a joke,1,CONSERVATIVE
i find it funny all comments are turned off with cnn and the white house page they know theyd get cooked on every platform they will lose,1,CONSERVATIVE
and his very first comment about trump is an out of context quote used as a lie,1,CONSERVATIVE
looks like a geriatric convention nothing but projection and lies kackling kamala is definitely high again,1,CONSERVATIVE
sounds like joe gotta into hunters stash before the speech still wasnt enough to make him sound any more coherent,1,CONSERVATIVE
as far as the republicanj response i would rather had someone else anyone else deliver the republican response this was a shallow delivery this was a weak response even the context of the speach was lacking republicans need to do better than that i do not know who wrote this rebuttal but they did a terrible job i cannot believe this was a response to one one of the most important times in american history this was the response for the worst president in american history give me a break,1,LIBERAL
bidens middle east policies have turned god against america the bible says god said those who protect isreal god will protect them those who appose israel god will appose them this is why america is on a decline and until we turn back to protecting israel we will continue to decline,1,CONSERVATIVE
how much meth do you think they got him on for this,1,CONSERVATIVE
president biden you aced the state of the union tonite,1,LIBERAL
dictator,1,CONSERVATIVE
mtglove her,1,CONSERVATIVE
the clapping is disgusting to me it hurts my heart that people are backing this up theyre such such takers they are not givers theyre not good people they can see whats happening and they know whats happening and they dont care because its not happening to them,1,CONSERVATIVE
sit down,1,CONSERVATIVE
the federal deficit was increased by government spending joes spending,1,CONSERVATIVE
so now were all gonna have to pay for everyone to get a tutor sorry joe i decided not to have kids i already pay for the broken public education system im not paying for someone elses private tutoring,1,CONSERVATIVE
bragging about fixing your own mess,1,CONSERVATIVE
wheres hunter at the white house snorting coke,1,CONSERVATIVE
he has had four years to fix the high cost of prescription drugs what the hell did he do i talked to a fella today that said his wife is paying 400 a month for one prescription empty promises,1,CONSERVATIVE
same company same drug same place except he was talking about moscow and berlin which are of course different places,1,CONSERVATIVE
history is watching our economy go in the toilet,1,CONSERVATIVE
biden is such a huge piece of garbage,1,CONSERVATIVE
biteunomics biteunomics at its best is ruining the country,1,LIBERAL
cant even watch this idiot,1,LIBERAL
hes ready to fix the border send him the bill so he can stop suing texas for enforcing border protection,1,CONSERVATIVE
why is he shouting through this whole speech,1,CONSERVATIVE
its scary that they want 4 more years of this puppet,1,LIBERAL
instead of raising the taxes on billionaires quit with all of the pork in your bills hidden in 4k page bills i for one couldnt care less about the transgender studies in taiwan,1,CONSERVATIVE
a effin clown show at the very least,1,CONSERVATIVE
karmala has no children,1,OTHER
we dont want your money we want a real president,1,CONSERVATIVE
wow taking credit for 15m jobs in 3 years after losing 22m jobs when he shut the country down for fauci,1,CONSERVATIVE
too bad they didnt have abortion rights 82 years ago,1,OTHER
i truly cant understand what hes saying,1,CONSERVATIVE
fjb,1,CONSERVATIVE
illegitimate and puppet president god save america,1,CONSERVATIVE
not voting for biden hes selling america off little by little in my world things are not better,1,CONSERVATIVE
were in a modern zeitgeist where the jester is the king,1,CONSERVATIVE
where are all these jobs new small businesses oh right ukraine,1,CONSERVATIVE
gun control that governments want is always the predecessor to the peoples loss of freedom and the end of their rights being respected,1,CONSERVATIVE
i really wish i could see any of these great things he said hes done the only one that i think ive seen is indeed there is only half a snickers bar where you still pay the old price lol thanks joe for fighting for our rites in the battle of junk food wars,1,OTHER
this was by far the weakest and saddest and most incompetent state of the union ever this mans a puppet barely breathing bragging about their mistakes worst president of my lifetime he is still proving it guys we need to do better like 5 years ago,1,CONSERVATIVE
they must have given him a ritalin b12 and cocaine booster shot,1,CONSERVATIVE
the worst criminal politician of our time or maybe ever biden just step down or go to prison,1,CONSERVATIVE
try telling michelle obama you cant love your country only when you win,1,CONSERVATIVE
imagine unironically chanting four more years,1,CONSERVATIVE
since numbnuts has been in office are home payment has risen 50000,1,CONSERVATIVE
i would love to know what cocktail of drugs they are giving him,1,CONSERVATIVE
sorry i cant watch this lie,1,LIBERAL
lie lielielie one after another this dude has diarrhea of the mouth,1,CONSERVATIVE
most asinine politician in american history get him out,1,CONSERVATIVE
biden lower than dirt,1,CONSERVATIVE
thats another pack of lies what is he talking about my wifes medicines have gone only up her deductions have gone up dont let this flimflam man clown you hes doing nothing but telling one lie after another,1,CONSERVATIVE
blasphemer close your mouth,1,CONSERVATIVE
what a shame opens the border and tells us we need to do something he didnt say anything about all the migrants all over these sanctuary cities that democrats wanted so bad,1,CONSERVATIVE
sorry trump 2024 duh,1,LIBERAL
i kind of thought some superstars coming in i mean the insurance is awesome reassuring and totally groundbreaking thank you jesus dont have to worry now,1,CONSERVATIVE
joe biden my butts been wiped democrats,1,CONSERVATIVE
vote for biden is a vote for the end wake up,1,CONSERVATIVE
why would he need to cut the credit card late fees from 3200 to 800 if the economy is booming and citizens are better off than before he was president just sayin,1,CONSERVATIVE
i can almost see what is going through kamalas head my if joe gets reelected that will mean that i will be the first woman president,1,CONSERVATIVE
joe biden spit it out just say you need some more money,1,CONSERVATIVE
you are watching the worlds greatest bs show the man can hardly can hold his head up as he is walking in and they flatter him as if he understands whats going on the best when they scream and clap 4 more years what a joke thank gd this is all being recorded so the many generations that will come will have a sad laugh at these lowlife idiots,1,CONSERVATIVE
jan 6 was not an insurrection no one has had charges brought against them to that effect there have been no convictions for insurrection,1,CONSERVATIVE
biden how many more babies have you blown up,1,CONSERVATIVE
ching ching ching ching ching,1,OTHER
he has been given a cocktail of b12 and something,1,CONSERVATIVE
how biden can tell those lies with a straight face is just beyond me he has somehow convinced himself hes telling the truth he wouldnt know the truth if it fell on him and i hope it does the democrats have to be defeated no matter what the cost he is worse than putin shee or kim un or the frickin iatolla they have to be stopped,1,CONSERVATIVE
ladies and gentlemen i present u the guy whos defending and standing with war criminal and genocide,1,CONSERVATIVE
i cant watch this anymore lies he says nothing about laken murdered in athens by a criminal illegal aliens nothing,1,CONSERVATIVE
he lied about the social secuity remark,1,CONSERVATIVE
he will be judged soon,1,CONSERVATIVE
what does this have to do with america stop the border crossing say her name laken riley,1,CONSERVATIVE
ukraine ukraine ukraine,1,OTHER
you dont need more border patrol just close the border,1,CONSERVATIVE
an incoherent pack of lies told by a lawless man claiming to be president truly disgraceful why didnt the republicans walk out as soon as he started talking and when asked why say im not here to listen to a rally speech given by a lying idiot,1,CONSERVATIVE
sickening lies and more lies no more years,1,CONSERVATIVE
i can understand people voted this old man are so disappointed now,1,CONSERVATIVE
marjorie is the best,1,CONSERVATIVE
sorry im not stupid this isnt joe biden he cant read a teleprompter much less naw,1,CONSERVATIVE
booooooo fjb lies lies lies he actually thinks he dose good he needs help,1,CONSERVATIVE
well i wasnt very encouraged by biden prior to this speech but after watching this in its entirety yeah no way im voting for this old man windbag sorry not a chance,1,CONSERVATIVE
i though this was supposed to be a state of the union addressi tried had to quit watching what a joke,1,CONSERVATIVE
the irish fire huh,1,OTHER
speaker of the house disagrees with his inflation remark,1,CONSERVATIVE
the one thing that was evident tonight is that biden has a diminished capacity at talking he slurred his words and on cue blamed trump and republicans for everything he even mis pronounced laken riley called her lincoln he needs to go,1,CONSERVATIVE
he dont want conflict with china cause he wont get those biden checks,1,CONSERVATIVE
democrats getting boycotted,1,CONSERVATIVE
meanwhile the orange conman met with one of the worlds worst scumbags whoever cant see the contrast is surely blind,1,CONSERVATIVE
trump 2024,1,CONSERVATIVE
fjb u go to hell,1,CONSERVATIVE
i dont see hom reading from a teleprompter how much is he improvising,1,CONSERVATIVE
this man is not mentally challenged its all a big act so he cant be held accountable he put on a big act of being feeble minded but the truth is he wants 4 more year to steal more,1,CONSERVATIVE
weve always had clean safe water to drink nothing biden did hes approximately 60 years too late,1,CONSERVATIVE
and these idiot chant 4 more year they love to wallow in dodo and get rich all the while you are footing the bill and your nation goes into decline,1,CONSERVATIVE
he is lying about uvalde that was a hoax,1,CONSERVATIVE
anyone else would be better,1,CONSERVATIVE
what a bunch of malarkey did everyone watch mikes face while biden spewed lies,1,CONSERVATIVE
wake up america you can plainly see the faces that make up congress is this who you want making law for you and running your government remember who the real people are who created the nation not idiots like these people who are standing on our forefathers shoulders and peeing down their bad trust me its not raining wake up and put a stop to loosing control or our great nation,1,CONSERVATIVE
it is time for separation a national divorce now,1,CONSERVATIVE
you have to be joking,1,CONSERVATIVE
tf,1,OTHER
fjb you make me puke every day you liar,1,CONSERVATIVE
its a miracle he did not fel asleep in between,1,CONSERVATIVE
you go ms greene,1,CONSERVATIVE
biden is ready to fix the border after 3 years,1,CONSERVATIVE
whats he doing giving a lesson in history,1,CONSERVATIVE
all the bs that came out of his mouth this clown is a joke to america,1,CONSERVATIVE
biden is lying lyin joe vote trump,1,CONSERVATIVE
im very looking forward to when he croaks,1,CONSERVATIVE
