comment,stance_llama_8b
obamas puppet continues rewriting history especially about his coup detat,CONSERVATIVE
biden is a,OTHER
every state of the union theyre going to cure cancerdoesnt happen like all the other promises well some of them sometimesa little bit not good enough,LIBERAL
president joe biden lit the capitol up like a christmas tree with his state of the union speech and has effectively put the age issue to rest he has effectively made the case for his potus reelection the choice is now very clear for the american people,LIBERAL
take a shot every time kamala harris stands up,LIBERAL
support womens rights,LIBERAL
i absolutely love that he moved right past high ranking military officers sarcasm is free from me pathetic,LIBERAL
the first 20 minutes is as fearful an expedition into the swamplands of america as youre going to get this year,LIBERAL
joe you cant love the scotus only when you win,LIBERAL
speaker johnson tired,LIBERAL
we the people are e pluribus unum god bless america save our democracy democracy prevails,LIBERAL
god bless president biden and vice president harris and god bless the united states of america,LIBERAL
man he came out swinging thank you president joe,LIBERAL
biden is the best,LIBERAL
10215 republicans cant even get behind billionaires paying the same tax rate as the working class,LIBERAL
whoever the reject is that was removed from the room for yelling is clearly unstable dont know who it was but if they are a government official he needs to be expelled from his seat send mtg out with him,LIBERAL
joe biden is the greatest president in his lifetime,LIBERAL
all lies to save his bottom,CONSERVATIVE
look at the love for this man,LIBERAL
mtg has no dignity whatsoever send her home shes a classic jerk,LIBERAL
absolutely what our united states of america is about pride respect intelligence and compassion thank you president joe biden and vice president kamala harris,LIBERAL
what is the name of the gentleman sitting on the right of biden,LIBERAL
the louse speaker was getting a chubby when magat taylor greene was misbehaving so he had to text his son acounttabilabuddy,LIBERAL
the freakish rant by this seemingly insane person gave us no explanation for what our next course of action is it was all a fear mongering unhinged psycho rant it was like some angry old man just stood up in a movie theater and started yelling at the screen zelinski is blackmailing him i just wish zelinski would just let the news of bidens business dealings come to light a little bit more,LIBERAL
when joe got elected as president he said that now is the time for the country to be united and to come together to work together for the common good last night his sotu speech did exactly the opposite pretty disgusting this country needs a leader who will not infuse division among the american people joe must go,LIBERAL
if this wasnt so frickin sad i would be laughing,LIBERAL
ive been a republican for over 40 years voted for trump 2x not anymore no to trump trump is the worst president in my lifetime and he belongs in jail i want to see democracy and decency in america not lies and hatred that trump represents,LIBERAL
i wonder if those in that room truly fathom how despised they are by the american people,CONSERVATIVE
4846 republicans cant even get behind affordable insulin,LIBERAL
id say lets get a lie count going but its pretty much the whole speech,LIBERAL
why was george santos there,OTHER
the smugness and condecending demeanor of maga mike johnson mr bible is disgusting he is the most hypocritical person in politics today and there is a lot of competition for that title,LIBERAL
biden its about time you go after the supreme court the gop is going to feel it in the election about what they did with roe v wade the supreme court has been compromised,LIBERAL
yup i saw it mike johnson nodding in what looked to be agreement a lot there must be a conscience lying somewhere in there huh,LIBERAL
feelgood circlejerk of lies,LIBERAL
that was elmer gantry on the stage,OTHER
oh my god pitiful he really should be put out to pasture hes an embarrassment,CONSERVATIVE
why did that lady say tell joe was wearing white just for him,LIBERAL
if you notice president biden is a very affable affectionate guy with everyone its who he is hes very likable,LIBERAL
america this is the best president you have ever had i truly truly hope you are smart enough and motivated enough to go out and vote for him this was his most powerful speech so far and i hope many more are to follow in the next couples of months he is totally fit to serve and definitely fitter than the other mentally deranged candidate you have who is running a campaign based on hate and unamerican values i wish you all the best for november go out and vote greetings from the other side of the free world the eu,LIBERAL
look at that mike johnson s face yuck,LIBERAL
awesome joe thank you 4 more years,LIBERAL
the fact that the republicans wont clap for medicare negotiating prescription drug prices is incredibly ironic considering they hate the the drug companies and love saving money apparently their distaste for big pharma is only outweighed by their ceding hate for joe biden and the dems its unamerican and pathetic grown men and women pouting like kids,LIBERAL
dune 2 was such a great movie,OTHER
dark brandon strikes again i got chills thats our leader,LIBERAL
they all sit down there with shame in their faces,CONSERVATIVE
maga mike looks distinctly uncomfortable,LIBERAL
if mtg has as much compassion for the families of murder victims as she claims she would not have been so callous towards the people effected by the sandy hook school shootings also i cant help to wonder if an hispanic republican was suspected of murdering a 22 year old woman if her family would get sympathy from mtg and all of the other magas or if her family would be thrown under the bus and denied justice so the magas could get his vote even if was even if he was guilty i am not saying being a hispanic republican or even a maga automatically makes some one a murderer i just cant help to notice most republicans in the white community have a double standard when it comes to dealing with people of color men of color outside of thier party are vilified while men of color in the gop can get a pass for breaking the law just like a lot of rich white men in thier party the way i see it the double standards are really more about politics than race i dont rich is worse at this point,OTHER
great powerful speech,LIBERAL
address the elephant in the room biden is losing it cognitively time to just let kamala takeover,CONSERVATIVE
i would rather have four more years of hope progress and peace than what the other side of the chamber represent 4 more years mr president,LIBERAL
that face on mike the dominionist johnson is the face of a pathetic human who knows hes on the wrong side of morality and humanity,LIBERAL
msnbc coverage is the best ever thank you vote blue,LIBERAL
biden has to quit trying to work with republicans that are just on the side of the wealthy and the corporations time to vote out uncooperative republicans and vote in democrats,LIBERAL
nothing is made in america read the labels,CONSERVATIVE
emilydivider 6369 your glass is always half empty sad what a downer,LIBERAL
republicans cant even applaud the idea of people and corporations paying their fair share of course they cant grrrrr,LIBERAL
oh my just looking at these people over all we need young folks in there don,LIBERAL
how can johnson sit there and shake his head and roll his eyes to some of the most obvious actions that need to happen and benefit the american people tf is wrong with this guy,LIBERAL
12045 shall not be infringed,CONSERVATIVE
actions speak a lot louder than words biden why dont you actually do any of this stuff while youve been president,LIBERAL
does the republican immigration bill want to put children in cages again i wouldnt doubt it whatever joes predecessor wants,LIBERAL
4150 biden hasnt bought american he has been bought in america by china ukraine and probably others the only ones gaining wealth are he and his family,CONSERVATIVE
here you could see a true leader at work may his body be old his spirit his mind is obviously in perfect shape not only is he fully concentrated all through the time to the opposite of his progressively declining challenger each word makes sense and hes delivering a tangible vision projecting into americas future what an awkward shame is the babbling ranting republican clown compared to this dimension of personality as long as the us have such calibre of thought leader and pragmatic manager at its top i believe in america,LIBERAL
you keep thinking that,OTHER
so what is the state of the union mr president you didnt mention,LIBERAL
he acts like the russians are coming but he and his cronies are the ones perpetuating all this all to line his his familys and his buddies pockets guess theyre going to have to steal this vote too all for a greedy senile old man,LIBERAL
there are far too many commercial interruptions during bidens speech itself msnbc or youtube stop this and broadcast at least the speech itself as every other media outlet does without commercial interruption,LIBERAL
what ajokenothing but a bunch of sellouts,CONSERVATIVE
same exact speech as 2023 and 2022 the good news is you are allowed to plagiarize yourself,LIBERAL
4 worst years 4 worst years,LIBERAL
sick of the republicans congresses giving rich and corporations tax breaks biden wouldnt go along with that kind of bs ever vote him in again four more years,LIBERAL
political violence has no place in america thats rich coming from the party that supports criminals illegal aliens and antifa,CONSERVATIVE
every year i have to be paying back eight and 10000 in taxes ridiculous my kids are all grown and i have no dependent,LIBERAL
4230 the chips act aug 2022 where is it now majority of the money 52 billion was given to intel 39 billion what is intel doing with that money is it weird that the next year june 2023 intel announced an initial investment of more than 33 billion euros in a leadingedge semiconductor fab megasite in germany intel taxpayer money going to another foreign country nah couldnt be conversion rates usd to euros 2022 line up weird how that worked out huh typical american government bahavior just throw money at the problem,LIBERAL
great state of the union message may god bless president biden and the united states of america,LIBERAL
best state of the union address ever superb,LIBERAL
lets save democracy and reelect this president and give him a congress that works for the people the choice couldnt be clearer,LIBERAL
day care is very very bad here in florida i had to pay 300 every week for daycare for my grandchildren 2and that doesnt include lunch and snack,LIBERAL
man my head isnt turning to mush listening to this compared to a trumps sotu speech,LIBERAL
in florida the cheapest rent for a two bed is over 2000 and for a two bedroom apartment in west palm beach starting 3000,LIBERAL
speaker of the house is a worm no loyalty whatsoever to the us or to our president half of the room is trumpified,LIBERAL
obama care is very expensive for someone like me paying 489 a month insurance and i have to meet my deductible before the insurance pay anything to my doctor visit prescription any appointments i have to pay 50 before i can get anything from the insurance working thats not good insurance,LIBERAL
this is a bs speech a cheer to a loosing system the greatest military alliance of our time is china russia iran north korea,LIBERAL
he said that america does not leave anyone behind but what about us americans that we pay taxes and yet he let thousands of illegals into our country and yet gave them phones money and houses and still the right to have a driver licsense and at the top of all this we have to deal with all the violencemy god what a liar,CONSERVATIVE
biden opens the state of the union by saying hello to dianne feinstein after aides successfully fit the marionette strings to him he launched into his campaign speech it was obvious dementia meds finally met their match last night just so there were no serious embarrassments a fence was constructed around the around the capitol to keep him from wandering off grounds during the speech he received a standing ovation when he announced that he has eliminated junk fees for all migrants staying in new york hotels,CONSERVATIVE
flovent was raising prices so the new law didnt have anything written in to avoid them changing their name as a loophole now its not covered by insurance and its 300 and the one that is covered now has a supply shortage and you cant get it my son really enjoys breathing so we now have to pay the 300,LIBERAL
our president said check the facts,LIBERAL
our president may have somewhat of a speech impediment but at least he talks sensibly id rather have somebody up there thats logical and of sound mind and body so what if he makes a couple of slipups,LIBERAL
biden has more wisdom and passion in his speech than donald trump will ever have in his whole life,LIBERAL
mike johnson can go straight to hades and so can the sambo sell outs,LIBERAL
yeah he just said it all to the republicans take that republicans see what your fearless leader gonna say about that now donald trump,CONSERVATIVE
he nailed this to the wall he just did,LIBERAL
what was the guy yelling up in the balcony at 11720,OTHER
what do they mean they bought a degree i was not selling a degree,OTHER
if everyone including the corporations and extremely wealthy paid 10 of total earnings we would not only be debt free we would be completely sound with healthcare with feeding children with education our countrys infrastructure would be fixed transportation would be secured families all across the country would be housed,LIBERAL
i am not commenting looking for an argument just sharing my opinion and exercising my right to free speech while i still have it this speech was nothing but half truths which are essentially lies and empty promises inflation is up well over 3 by my personal observations grocery prices have increased between 2540 and my housing cost 80 just in the last couple years i am aware that the stimulus approved in 2020 was under trumps leadership which is part of why i am not looking to argue every where we look in big cities we see more and more tent cities popping up this tells me that more and more people simply cannot afford to live our economy is not the best it has ever been this isnt even a half truth it is a bold faced lie as for his claim that more companies are opening american based factories this is a twisted half truth look at gm they are closing most of their plants located in erie pa and thousands of hardworking people are being laidoff yes they are opening new plants in el paso tx where there are no unions and pay can be decreased it would also be my assumption that it will not be americans gaining employment there either open your eyes people watch independent news sources and check the facts yourself as everything comes with a bias i would strongly encourage everyone to stop allowing so much division whether you are left or right leaning you are still picking an apple from the same tree ultimately we are want the same things what is best for our country and our families we need to find a way to be united and realize that those in power whether right or left do not have our best interests in mind or at heart,OTHER
2330 chant 4 more years if you hate the us,CONSERVATIVE
great state of union speech gop needs to open their ears and listen,LIBERAL
no all of this needs to stop im sick of spending 400 a week just for eggs and milk,LIBERAL
theres doctor pill popper from traitor trump white house never again,LIBERAL
is mike in actual physical pain,LIBERAL
i told you my dad does drug rehab i am a spa therapist a huge contrast and ima failure in huntsville and i have served the black community with works and massage therapy thats why i do not support blck business because they do not support me i do not own a car and they want to know if i need any extra money that arrives is this a complete life house home and car a city degree for massage or doing hair is illegal so i can just set up shop and start doing hair or massage without a license,OTHER
is that wee fella johnson waiting for his mammy to pick him up,LIBERAL
this was the most fascist thing ever americans need to wake up we the rest of the world dont want war your leaders want war and its bipartisan,LIBERAL
joes wife is his mortician,OTHER
yes remember that statement mr president and do not stop being an american when you loose they like to tear speeches and are revengeful,LIBERAL
kamel standing there like holey crap they still think i know what im doing what a bunch of suckers,CONSERVATIVE
mike johnson should have torn up the paper copy of bidens speech exactly like pelosi did simply to see the news reaction,CONSERVATIVE
the supreme court judges are twisted and clearly working for traitor trump,LIBERAL
enough about ukraine what about america no more money to ukraine a nation that is 34 trillion dollars in debt has no business giving away money to other countries before fixing our own,CONSERVATIVE
mrs taylor greene has no taste at all disgusting,LIBERAL
not bad at all joe i still dont understand how so many low and middle class americans support a party that fights for the rich i guess as long as they say we wont let anybody mess with your guns they dont care more likely theres just too ignorant to understand,LIBERAL
people can barely afford gas and groceries but yet the most important thing in the world is to pump billions and billions of more dollars into the ukraine oh and dont forget a bunch of cars free money and shelter to illegals in new york and other large cities while minority population they claim to champions suffers,CONSERVATIVE
maga a corrupted supreme court and trumpism is going to be the undoing of this nation wait and see,LIBERAL
how about defending the republic you are not the one mr president,LIBERAL
we are going to have to order our clothes and things from other countries pretty soon with all are stores closing out and no tru cks to get them to us,LIBERAL
republicans cant even stand and clap when our president extols the virtues of buying american and building american products with american labor this should tell you everything you need to know about republicans,LIBERAL
republicansusa new opposition party jobs children border anything good they willhave opposed it,LIBERAL
is the applaud button stuck this whole thing is a joke politicians coming in like rock stars,LIBERAL
we are by and large a nation of immigrants the only people who were here before the rest of us are the native americans,LIBERAL
i would love to see prescription caps it costs over 4000 a month for my insurance to help pay for my monthly prescriptions i take two insulins two mental health meds and one pain med over 4000 a month i have to pay a small percentage but im on disability and dont get much less than 1100 a month to barely survive when i had cancer it was one of the worst things i had been through between that cancer and going through the pandemic at the same time it was nearly impossible to get safe transportation seeing first hand how little people were cleaning their vehicles between passengers leaving folks exposed to that virus people who were already health compromised were being put in jeopardy if we cant be human enough to care for other people are we really fair to our own families i ended up with covid twice during the time i was fighting cancer trust me it wasnt fun missing medal appointments because i couldnt leave my home just set back my treatment and my health being disabled also complicated this i want a healthcare that is affordable accessible and for the people,OTHER
you say political violence has no place in your government yet you have your appointment tied down with endless lawsuits that are all failing trying to take him of the ballot both parties see what is being done you are the president yet all you talk about is your opponent and how awful republicans are please unify our country stop pointing at someone else and january 6th for all your problems and short comings,LIBERAL
a true american would have never sold us out you should be arrested for treason and be sent to prison old folks home joe i will not back down no you wont cause you already fell down the stairs many many times,LIBERAL
that was the best state of the union ive heard in years four more years,LIBERAL
what a disaster lol,LIBERAL
me going to my home state made yall loose your mind all the victins were happy if you were my attacker that what should have happened i have a profession and if these two to three modeling jobs a year is driving yall mad thats why i do not live here i am getting my stuff so i can go,OTHER
what a looser,CONSERVATIVE
both sides are not the same,LIBERAL
a mortician dressed joe and put on his makeup on,CONSERVATIVE
great speech vote blue,LIBERAL
this thing belongs in a mental institution,CONSERVATIVE
mike johnson we all know them someone completely out of their depth but their arrogance and lack of self awareness blinds them to the fact he looks constipated throughout this sad,LIBERAL
pulling the wool over our eyes again,LIBERAL
you can see the hunger for presidential leadership in that chamber and in the usa at large you can see and if you have a brain you can perceive and support how joe biden has now stepped up to the plate what a relief trump will have a very very hard road ahead of him politically given his record and what we know beyond any doubt of his character quite aside from the colossal financial penalties he is now scrambling to come up with and the 91 criminal charges he faces for which he will be jailed if convicted of any one of them its beyond absurdity beyond amorality almost beyond belief that the gop chooses this despotic proven crook this lickspittle toady of the russian dictator as the republican candidate only joe biden stands between trump and his return to power only joe there is no alternative but to vote for bidenharris in 2024 no alternative whatsoever,OTHER
joe has this,LIBERAL
i need a mature proper order so before you get a dna sample or hair sample or finger print on my childs stuff you want me to take it to the land field what if the grandmother is the helper and murderer you all are pathetic that destroys the evidence but i know the evidence was contaminated so it needs to be handle by someone you all hired to do that job the bank employees are doing witchcraft and asking m who i sent somwthing too that is why they are connexting to me the walmart paeking lot is full of weed the human can not handlethat so tjey are breaking my neck like kids climbing up something trying to get away like people flying out a building that is trambling i also teach people how to remain calm when they are in danger i cant do that all day freeof charge they like to keep a little wage theft going on in huntsville because maybe they feel guilty of what they did to good white people for theor freedom i,OTHER
this country is falling apart im genuinely scared for my life,LIBERAL
blk people i did not hear too 13224 much or anything regarding your wellfare,LIBERAL
he appears to be perfectly coherent and alert to me,LIBERAL
joe the lion biden,LIBERAL
standing ovation 4 more years,LIBERAL
i always wondered why those older people dont have to retire like we do we need younger representstion,LIBERAL
so this is how democracy ends with thunderous applause,LIBERAL
stop the bleeding he belongs in a home,CONSERVATIVE
that was surprisingly great,LIBERAL
raise corporate tax and the jobs go overseas brilliant biden has spoken,LIBERAL
look how easy and how little time it took to transform antiwar democrats in the biggest warmongers defending democracy in ukraine brainwashed ignorant and mad nation,LIBERAL
worst thief weve ever had,LIBERAL
people dont get it rich people pay more taxes than yhe average person and alot of it goes to the average person in some way or the other we need rich people to make it work to our advantsge,LIBERAL
joe biden wanna help americans save money and give women reproductive rights republicans no no no nooooo,LIBERAL
why did biden show anger and shouting at the same time saying america is on a comeback,LIBERAL
for reps pretend immigrants instead of slaves would provide the cheap labor the border is not just a problem its also an opportunity,OTHER
they want to save on things to give it free to the illigails immigrants,CONSERVATIVE
boy the republicans are the worst politicians who to blame for the economy rise and cost thats why bidens trying to pass all these bills they dont want including the border with them trump dont want to give that to biden,LIBERAL
pres biden cannabis please describe that there will be no more arrests simply for marijuana anyplace in the usa and announce that marijuana is fully and totally legal lawful qhvrslnpny,LIBERAL
oh my wordwhat a crook,LIBERAL
that is our president,LIBERAL
hes such an amazing speaker,LIBERAL
you rock president biden,LIBERAL
that showed your nev er to old i still want trump though,CONSERVATIVE
man the republicunts are salty about the wealthy paying their fair share,LIBERAL
thank you president biden,LIBERAL
that was a fabulous sotua,LIBERAL
in a country of 330 million people hes found some success stories and positive moments but man there was a lot of stretching to even make those work,LIBERAL
where was clarence thomas,OTHER
the lighting when biden first appeared seems very white which makes him look older and like he was wearing a mask anyone have any insights,LIBERAL
i love how the maga folks are so willing to embarrass themselves with their uncontrollable outbursts the crazies,LIBERAL
looking at biden really creeps me out his eyes theyve been looking demonic makes me nauseous no doubt that man literally sold his soul,CONSERVATIVE
you can tell that kamalas husband is so proud of her and i love that she had to tell him to calm down,LIBERAL
unemployment is at a 50 year low because 6 items at the grocery store literally cost a 100 dollars,LIBERAL
wow great speech joe cant wait to vote you back in this november,LIBERAL
what a speech i loved it thats my president,LIBERAL
if some of these things the republicans dont like actually happened within their own families or their daughters they might have a change of tune any female that supports trump no respect for you,LIBERAL
take that smirk smile of your face speaker johnson you should be ashamed of your behaviour,LIBERAL
the republicans were disrespectable and spoiled brats mtg wasis downright insane,LIBERAL
i thought he was the perfect example of what a president should be,LIBERAL
this is what a president looks like,LIBERAL
no ukraine cannot stop putin you dingleberry who is advising this guy,LIBERAL
what a suprise at the end of his presidency hes trying to have a campaign speech during the union address,CONSERVATIVE
why dont even people in his failed party believe all his blatant and cynical lies,LIBERAL
at 011500 is there a reason the democrats are in white and loudly cheering when biden is talking about the kkk,LIBERAL
makes me physically ill to hear president biden spewing all this rhetoric our country wont survive 4 more years of this,CONSERVATIVE
in biden we trust 4 more years love that guy,LIBERAL
youre not my president never will be,CONSERVATIVE
great speech vote blue,LIBERAL
notice how quiet the republicans were when ol joe mentioned that billionaires pay more than 82 in taxes i saw some of their eyes blinking in half stroke taxes are the most important reason why they get legal bribes legal bribes thanks to the supreme court that sits in the front row change is coming if not now then it will be double and triple later,LIBERAL
your whole nation is toxic and creepy,OTHER
smartest thing he said the whole time was his first statement if i were smart i would go home now,CONSERVATIVE
ill go to moscow with joe on airforce one the surprise on his face when he threw himself that curveball,LIBERAL
schumer looks more and more like the batmans penguin as he ages lol,LIBERAL
that was a sermon tonight and watching the glad handing after the address was informative as to his cognitive resilience and stamina,LIBERAL
state of buffoonery,LIBERAL
this imbecile is the worst representative as a president in the history of this country period,LIBERAL
i think i threw up in my mouth,CONSERVATIVE
the fact that part of the audience did not acknowledge the achievements from the biden administration is disgusting these achievements benefit all americans shouldnt that be worth celebrating regardless of what side of the aisle you are republicans are just showing they care more about their vendetta against democrats than the american people disgusting,LIBERAL
its a nice thought biden youve had 4 years to do all these things and look at this country now crumbling,CONSERVATIVE
stop finding foreign wars keep our money here,CONSERVATIVE
it would be nice to get someone who represents the majority of this country in office instead of someone who represents people in retirement homes,LIBERAL
epipens bro epipens add that to the list if it isnt there already,LIBERAL
this speech was powerful brilliant generous and forceful biden was inspiring in speaking his future oriented goals the republicans can only stumble and fall flat as they try to hold on to an empty past with trump sitting on all their shoulders way too much rancid fat to carry indefinitely with no purpose other than to save the supreme being what a joke these people are,LIBERAL
is it possible that jan 6 bombs found that day were used to force a certification of the election,LIBERAL
mike cant keep a straight face through all joes lies lol,CONSERVATIVE
the right stuff,LIBERAL
nothing is better than biden trump is pure d trash,LIBERAL
loving america even if you dont win huh funny as the left has been nothing but rabid over america being racist and horrible and how it must all be torn down and burned until they hold the throne then its all you should never go against your government,CONSERVATIVE
the sooner the true president is back in office the better this man just spews out complete garbage hes good at sniffing hair tho,CONSERVATIVE
maga mike looks like hed rather be having a colonoscopy without sedation,LIBERAL
the country wont last 4 more years thats for sure,CONSERVATIVE
george santos presence says it all about the gop clown show,LIBERAL
i feel like i want to like biden as my grandpa honestly i just cant agree with some of his policies,LIBERAL
it was a state of accusation not a state of union he failed again,CONSERVATIVE
hes moving on slowmotion,LIBERAL
joe reveals hes still a delaware street punk never changed what a piece of work,LIBERAL
america need to enact some bipartisan law that the deficit may not exceed some level exemple 3 of gdp despite record low employment deficit is at record levels over 6 and the route is undustainable because of int rates affecting the deficit neither biden nor trump seems up to taking responsibility i am hoping for a liz truss moment asap so that the route is improved before it is to late,OTHER
vp kamala was having a good legs workout lol,LIBERAL
trump 2024 this latina for trump trump this biden administration is the most corrupt and incompetent and dishonest the arrogance these lifer politicians have from us taxpayers is astounding especially they think were dumb by propagating all their lies and always blaming someone else especially trump cause hes the only thats a true american leader not these idiots this latina for trump 2024 trump saved the middle class,CONSERVATIVE
im a true republican not a maga and i am fired up by the presidents address this man is the only choice to keep the orange rat out of the oval office,CONSERVATIVE
how does marco rubio live with himself,LIBERAL
its a good think trump signed the insulin executive order that biden reversed now he needed a bill to get the same thing done that was done yea you may think that the deficit but didnt is cut but you added that to us the people you also added all this money from the students that chose to go to that collage to our deficit the kids made the decision and spend all that money for collage not me i should not have to pay their bill i never got a handout like that completely out of touch with the american people we the people are far worse off now costs are way higher gas and food just to name a few cant take 4 more years of this,LIBERAL
biden and the liberals the biggest problem in america right now is racist werewolves not the border,LIBERAL
yes and who are those children your indoctrinated school system is brainwashing trash being conducted on battlefields schools are not safe in any grade,OTHER
h8 anger and retribution thats what the democratic party stands for,LIBERAL
thats bs donald trump bows down to no one,LIBERAL
and what is hoemala standing and clapping foryalls time is up pack ya bags u moving to a new house all of u,LIBERAL
if you wanna know what gop will not do just look at johnson when he claps and nods and when he doesnt,LIBERAL
thank yousir see you in the net 4 years,LIBERAL
biden calls out scotus and their role to overturn rove v wade hes not mincing his words and his goal to reinstate womens rights,LIBERAL
i wish i could like this sotu address a thousand times well done president biden we are all proud of you and your accomplishments four more years guaranteed,LIBERAL
omg they do have to chit chat for the longest time no wonder the sotu goes on for so long,LIBERAL
you know its bad when all comments are turned off on other videos lol im just happy he didnt die and finished the script,CONSERVATIVE
this man still have the vitality period biden again,LIBERAL
inflation went from 9 percent to 3 percent the chip is the mark of the beast this man is nothing but lies led by evil 4234,CONSERVATIVE
i thought this was supposed to be a state of the union it was a campaign speech all the way you couldnt run on your record of failures mr president so you stumped instead i am in the middle class and for you to stand there and tell us your economy is great was the biggest lie as my pay check has taken an enormous hit for gas food and taxes to tell us you put forth legislation to stop the border crisis is the biggest lie you put forth an ukraine aid package the republicans rejected rightly so you tried to blame republicans at every turn when all you have to do is follow the law of the us and let the border patrol do their job nothing more than that get out of the way of the border patrol and let them do their job but no you tied their hands and then wonder why governors have to do your job and secure our borders also your attempt at influencing this election process by going after trump for some of the things you yourself did is outrageous colluding with das in georgia and new york to go after your political opponent is reprehensible i hope you are tried for your ill gotten gains along with your son,OTHER
funny he mentioned the kkk when he was actually close friends with members and even attended his funeral when he passed he is also the same person who put the law into place that places men of color in jailprison longer than their white counterparts imagine being a person of color and voting for someone who actually put bills in to keep the people of color down yikes,LIBERAL
everyone is well aware you had to be drugged to show up for a speech late everyone can see its a scam and you are stealing our money why not just say we got ya and leave,OTHER
maga mike johnson looks uncomfortable pursing his lips when potus cites jan6,LIBERAL
we are so happy to see you leave bye,LIBERAL
who do you want having access to advanced nuclear weapon systems,OTHER
big fat zero this guy is better at dividing the country then anything else,CONSERVATIVE
what a bunch of bs,CONSERVATIVE
biden has no idea on how to unite people he drives the wedge deeper his stupidity was on full display evertine he says my predecessor its followed by what biden hopes is an insult,CONSERVATIVE
uhh wat happened to god bless the united states of america at the end that solidifies my thoughts of this being a war between good and evil,CONSERVATIVE
well the sotu has definitely become nothing more than a campaign speech which says a lot about the state of the union doesnt it oh and nice job going after scotus you frickin potemkin puppet,LIBERAL
this man gets no respect after what he did to the border,CONSERVATIVE
everything is about minorities white is out with democrats,CONSERVATIVE
so what was this the state of narnia address,OTHER
fantastic state of the union,LIBERAL
trump in his current mental and physical state would never be capable of what biden accomplished here hobbling to the podium like a senile old man and spewing dementiafueled rantings and mumblings about subjects he has no knowledge of then have a bunch of braindead lemmings clap on cue only biden and the libs could accomplish that,LIBERAL
this clown wants to fund the ukraine war and give free education and health care to hispanics where is the money coming from to fund these country is already trillions in debt taxes are going up,CONSERVATIVE
m amazed that the comments arent turned off,OTHER
this guy needs to step down already,CONSERVATIVE
15 million new jobs available because i gave them a reason to stay at home and not work,CONSERVATIVE
mike johnson shakes his head in disagreement about the low inflation rates at 4110,LIBERAL
3230 bro please tell me he did not just compare the january 6th riots to the literal civil war,LIBERAL
and yes trump failed the us when it came to covid19 he sure did and ill never forget,LIBERAL
now thats a strong presidential speech from a strong leader biden is doing a great job four more years joe,LIBERAL
so what is the state of the union never did catch that,LIBERAL
this is the first president to be elected by mailin ballot voting what a joke,CONSERVATIVE
ban the illegal crime cartel that calls themselves democratic they are not they hate the constitution and they hate you every one of you registurd democrats support communism and the over throw of our government your ideology does not work it is a lie and you folks support them no democrats never racism and hatred are all your party can produce santos shouldnt have been there but apparently he qualifies as a past member thats weird but hey thanks to liars like schiff and company we kept him on as a controlled vote a move learned by watching you dems,OTHER
i find it hilarious he calls martin luther king his hero when he literally voted against them,LIBERAL
that was a disgrace,LIBERAL
ok not that it matters but did anyone else notice that he didnt let the speaker introduce him normally the speaker says like i have the high honor and distinct pleasure of presenting to you the president of the united states but president biden just went into his speech before johnson could get the words out,LIBERAL
johnson was really uncomfortable when confronted with remembrance of his actions is history,LIBERAL
my ad blocker ai fact checker wont let it through,OTHER
green dressed like a cult worshiper sheep,CONSERVATIVE
maga mike sitting there shaking his head when biden is dropping absolute truth is infuriating his is a most punchable face ridin with biden standin with brandon,LIBERAL
nothing for our military this shows where his priorities are shameful,CONSERVATIVE
marjorie taylor green is trash,LIBERAL
that seemed more like a campaign speech rather than state of the union address i would rather see actual facts and figures than grandstanding just for the record i dont like trump or biden i really think our best choice for recovery is kennedy but that is just me i also dont like the outburst on either side we have lost respect and need a change in our society the 2 party system has failed us,OTHER
get magas out of government,LIBERAL
you are killing the middle class but jesus will have the final words i guarantee that,CONSERVATIVE
and illegals to take the jobs joe,CONSERVATIVE
calling for a ceasefire in gaza numerous times while advocating to send billions of dollars to israel to buy more american weapons to use on gaza,LIBERAL
why is that old man so angry,LIBERAL
reform the tax system,LIBERAL
me and my wife has paid over 17k in taxes amd made 105k and you sick individuals think this is right plus i need to pay 1476 dollars into federal tax more because you dirt bags think its not enough,LIBERAL
reform the banking system,LIBERAL
3301 the threat of democracy must be defended the guy tells you to your face and you all cheer shame,LIBERAL
america is a game to be won at the expense or all of us even the world look at the room its obvious,LIBERAL
reform the hospital system,LIBERAL
reform the prison system,LIBERAL
3013 so the entire gop leadership is fine with a former us president telling a dictator to go nuts on whoever however he wants good to know also what is george santos doing there these people have no shame,LIBERAL
they clapping like they clap for kim jun un,CONSERVATIVE
seriously mike johnson you are the speaker of the house and you dont stand for the president of united states regardless of partythat is extremely disrespectful sir,LIBERAL
biden wants us to have factories but he also wants them unionized unions do not work unions are lies they can not guarantee you anything at all they can not force a company to pay you a wage they can go on strike then you are out of work no pay you cant get unemployment while on strike but they dont tell you that they dont give all the details oh and dont pay your dues and watch what happens to you these unions do not care about you they only care about their pockets and you paying them dues not to mention a lot of the costumers of these factories will return to their home country honda is one of them honda has already said that if our company goes unionized they will move their factories back overseas and be done uaw president is a friend of his what a shocker i am him pushing factories to unionize has nothing to do with the fact they are friends i am sure he wont get his pockets lined insert eye rolls,OTHER
all talk all talk to meall i see is that the us is in turmoil,CONSERVATIVE
absolutely impossible to imaging trump being able to articulate issues this profoundly and with such understanding and empathy,LIBERAL
save babys lifes,OTHER
this was horrible,LIBERAL
sounds more like a campaign speech i guess thats the only place he can draw a crowd,CONSERVATIVE
