comment,stance_llama_8b,stance_trump,stance_biden
i told you my dad does drug rehab i am a spa therapist a huge contrast and ima failure in huntsville and i have served the black community with works and massage therapy thats why i do not support blck business because they do not support me i do not own a car and they want to know if i need any extra money that arrives is this a complete life house home and car a city degree for massage or doing hair is illegal so i can just set up shop and start doing hair or massage without a license,OTHER,OTHER,ANTI
is that wee fella johnson waiting for his mammy to pick him up,LIBERAL,OTHER,OTHER
this was the most fascist thing ever americans need to wake up we the rest of the world dont want war your leaders want war and its bipartisan,LIBERAL,OTHER,OTHER
joes wife is his mortician,OTHER,OTHER,OTHER
yes remember that statement mr president and do not stop being an american when you loose they like to tear speeches and are revengeful,LIBERAL,PRO,OTHER
kamel standing there like holey crap they still think i know what im doing what a bunch of suckers,CONSERVATIVE,OTHER,OTHER
mike johnson should have torn up the paper copy of bidens speech exactly like pelosi did simply to see the news reaction,CONSERVATIVE,OTHER,ANTI
the supreme court judges are twisted and clearly working for traitor trump,LIBERAL,ANTI,OTHER
enough about ukraine what about america no more money to ukraine a nation that is 34 trillion dollars in debt has no business giving away money to other countries before fixing our own,CONSERVATIVE,OTHER,ANTI
mrs taylor greene has no taste at all disgusting,LIBERAL,OTHER,OTHER
not bad at all joe i still dont understand how so many low and middle class americans support a party that fights for the rich i guess as long as they say we wont let anybody mess with your guns they dont care more likely theres just too ignorant to understand,LIBERAL,OTHER,ANTI
people can barely afford gas and groceries but yet the most important thing in the world is to pump billions and billions of more dollars into the ukraine oh and dont forget a bunch of cars free money and shelter to illegals in new york and other large cities while minority population they claim to champions suffers,CONSERVATIVE,PRO,ANTI
maga a corrupted supreme court and trumpism is going to be the undoing of this nation wait and see,LIBERAL,ANTI,OTHER
how about defending the republic you are not the one mr president,LIBERAL,OTHER,OTHER
we are going to have to order our clothes and things from other countries pretty soon with all are stores closing out and no tru cks to get them to us,LIBERAL,OTHER,OTHER
republicans cant even stand and clap when our president extols the virtues of buying american and building american products with american labor this should tell you everything you need to know about republicans,LIBERAL,PRO,OTHER
republicansusa new opposition party jobs children border anything good they willhave opposed it,LIBERAL,OTHER,OTHER
is the applaud button stuck this whole thing is a joke politicians coming in like rock stars,LIBERAL,OTHER,OTHER
we are by and large a nation of immigrants the only people who were here before the rest of us are the native americans,LIBERAL,OTHER,OTHER
i would love to see prescription caps it costs over 4000 a month for my insurance to help pay for my monthly prescriptions i take two insulins two mental health meds and one pain med over 4000 a month i have to pay a small percentage but im on disability and dont get much less than 1100 a month to barely survive when i had cancer it was one of the worst things i had been through between that cancer and going through the pandemic at the same time it was nearly impossible to get safe transportation seeing first hand how little people were cleaning their vehicles between passengers leaving folks exposed to that virus people who were already health compromised were being put in jeopardy if we cant be human enough to care for other people are we really fair to our own families i ended up with covid twice during the time i was fighting cancer trust me it wasnt fun missing medal appointments because i couldnt leave my home just set back my treatment and my health being disabled also complicated this i want a healthcare that is affordable accessible and for the people,OTHER,OTHER,OTHER
you say political violence has no place in your government yet you have your appointment tied down with endless lawsuits that are all failing trying to take him of the ballot both parties see what is being done you are the president yet all you talk about is your opponent and how awful republicans are please unify our country stop pointing at someone else and january 6th for all your problems and short comings,LIBERAL,ANTI,OTHER
a true american would have never sold us out you should be arrested for treason and be sent to prison old folks home joe i will not back down no you wont cause you already fell down the stairs many many times,LIBERAL,OTHER,ANTI
that was the best state of the union ive heard in years four more years,LIBERAL,PRO,OTHER
what a disaster lol,LIBERAL,OTHER,OTHER
me going to my home state made yall loose your mind all the victins were happy if you were my attacker that what should have happened i have a profession and if these two to three modeling jobs a year is driving yall mad thats why i do not live here i am getting my stuff so i can go,OTHER,OTHER,OTHER
what a looser,CONSERVATIVE,OTHER,OTHER
both sides are not the same,LIBERAL,OTHER,OTHER
a mortician dressed joe and put on his makeup on,CONSERVATIVE,OTHER,OTHER
great speech vote blue,LIBERAL,OTHER,PRO
this thing belongs in a mental institution,CONSERVATIVE,OTHER,OTHER
mike johnson we all know them someone completely out of their depth but their arrogance and lack of self awareness blinds them to the fact he looks constipated throughout this sad,LIBERAL,OTHER,OTHER
pulling the wool over our eyes again,LIBERAL,OTHER,OTHER
you can see the hunger for presidential leadership in that chamber and in the usa at large you can see and if you have a brain you can perceive and support how joe biden has now stepped up to the plate what a relief trump will have a very very hard road ahead of him politically given his record and what we know beyond any doubt of his character quite aside from the colossal financial penalties he is now scrambling to come up with and the 91 criminal charges he faces for which he will be jailed if convicted of any one of them its beyond absurdity beyond amorality almost beyond belief that the gop chooses this despotic proven crook this lickspittle toady of the russian dictator as the republican candidate only joe biden stands between trump and his return to power only joe there is no alternative but to vote for bidenharris in 2024 no alternative whatsoever,OTHER,ANTI,PRO
joe has this,LIBERAL,OTHER,PRO
i need a mature proper order so before you get a dna sample or hair sample or finger print on my childs stuff you want me to take it to the land field what if the grandmother is the helper and murderer you all are pathetic that destroys the evidence but i know the evidence was contaminated so it needs to be handle by someone you all hired to do that job the bank employees are doing witchcraft and asking m who i sent somwthing too that is why they are connexting to me the walmart paeking lot is full of weed the human can not handlethat so tjey are breaking my neck like kids climbing up something trying to get away like people flying out a building that is trambling i also teach people how to remain calm when they are in danger i cant do that all day freeof charge they like to keep a little wage theft going on in huntsville because maybe they feel guilty of what they did to good white people for theor freedom i,OTHER,OTHER,OTHER
this country is falling apart im genuinely scared for my life,LIBERAL,OTHER,OTHER
blk people i did not hear too 13224 much or anything regarding your wellfare,LIBERAL,OTHER,OTHER
he appears to be perfectly coherent and alert to me,LIBERAL,PRO,OTHER
joe the lion biden,LIBERAL,OTHER,PRO
standing ovation 4 more years,LIBERAL,PRO,OTHER
i always wondered why those older people dont have to retire like we do we need younger representstion,LIBERAL,OTHER,OTHER
so this is how democracy ends with thunderous applause,LIBERAL,OTHER,OTHER
stop the bleeding he belongs in a home,CONSERVATIVE,OTHER,OTHER
that was surprisingly great,LIBERAL,OTHER,OTHER
raise corporate tax and the jobs go overseas brilliant biden has spoken,LIBERAL,OTHER,PRO
look how easy and how little time it took to transform antiwar democrats in the biggest warmongers defending democracy in ukraine brainwashed ignorant and mad nation,LIBERAL,OTHER,ANTI
worst thief weve ever had,LIBERAL,ANTI,OTHER
people dont get it rich people pay more taxes than yhe average person and alot of it goes to the average person in some way or the other we need rich people to make it work to our advantsge,LIBERAL,OTHER,OTHER
joe biden wanna help americans save money and give women reproductive rights republicans no no no nooooo,LIBERAL,OTHER,PRO
why did biden show anger and shouting at the same time saying america is on a comeback,LIBERAL,OTHER,ANTI
for reps pretend immigrants instead of slaves would provide the cheap labor the border is not just a problem its also an opportunity,OTHER,OTHER,OTHER
they want to save on things to give it free to the illigails immigrants,CONSERVATIVE,OTHER,OTHER
boy the republicans are the worst politicians who to blame for the economy rise and cost thats why bidens trying to pass all these bills they dont want including the border with them trump dont want to give that to biden,LIBERAL,OTHER,PRO
pres biden cannabis please describe that there will be no more arrests simply for marijuana anyplace in the usa and announce that marijuana is fully and totally legal lawful qhvrslnpny,LIBERAL,OTHER,PRO
oh my wordwhat a crook,LIBERAL,ANTI,OTHER
that is our president,LIBERAL,PRO,OTHER
hes such an amazing speaker,LIBERAL,OTHER,OTHER
you rock president biden,LIBERAL,OTHER,PRO
that showed your nev er to old i still want trump though,CONSERVATIVE,PRO,OTHER
man the republicunts are salty about the wealthy paying their fair share,LIBERAL,OTHER,PRO
thank you president biden,LIBERAL,OTHER,PRO
that was a fabulous sotua,LIBERAL,OTHER,OTHER
in a country of 330 million people hes found some success stories and positive moments but man there was a lot of stretching to even make those work,LIBERAL,OTHER,OTHER
where was clarence thomas,OTHER,OTHER,OTHER
the lighting when biden first appeared seems very white which makes him look older and like he was wearing a mask anyone have any insights,LIBERAL,OTHER,OTHER
i love how the maga folks are so willing to embarrass themselves with their uncontrollable outbursts the crazies,LIBERAL,ANTI,OTHER
looking at biden really creeps me out his eyes theyve been looking demonic makes me nauseous no doubt that man literally sold his soul,CONSERVATIVE,OTHER,ANTI
you can tell that kamalas husband is so proud of her and i love that she had to tell him to calm down,LIBERAL,OTHER,OTHER
unemployment is at a 50 year low because 6 items at the grocery store literally cost a 100 dollars,LIBERAL,OTHER,OTHER
wow great speech joe cant wait to vote you back in this november,LIBERAL,OTHER,PRO
what a speech i loved it thats my president,LIBERAL,PRO,OTHER
if some of these things the republicans dont like actually happened within their own families or their daughters they might have a change of tune any female that supports trump no respect for you,LIBERAL,ANTI,OTHER
take that smirk smile of your face speaker johnson you should be ashamed of your behaviour,LIBERAL,OTHER,OTHER
the republicans were disrespectable and spoiled brats mtg wasis downright insane,LIBERAL,OTHER,OTHER
i thought he was the perfect example of what a president should be,LIBERAL,PRO,OTHER
this is what a president looks like,LIBERAL,OTHER,OTHER
no ukraine cannot stop putin you dingleberry who is advising this guy,LIBERAL,OTHER,OTHER
what a suprise at the end of his presidency hes trying to have a campaign speech during the union address,CONSERVATIVE,OTHER,OTHER
why dont even people in his failed party believe all his blatant and cynical lies,LIBERAL,ANTI,OTHER
at 011500 is there a reason the democrats are in white and loudly cheering when biden is talking about the kkk,LIBERAL,OTHER,PRO
makes me physically ill to hear president biden spewing all this rhetoric our country wont survive 4 more years of this,CONSERVATIVE,OTHER,ANTI
in biden we trust 4 more years love that guy,LIBERAL,OTHER,PRO
youre not my president never will be,CONSERVATIVE,OTHER,OTHER
great speech vote blue,LIBERAL,OTHER,PRO
notice how quiet the republicans were when ol joe mentioned that billionaires pay more than 82 in taxes i saw some of their eyes blinking in half stroke taxes are the most important reason why they get legal bribes legal bribes thanks to the supreme court that sits in the front row change is coming if not now then it will be double and triple later,LIBERAL,OTHER,PRO
your whole nation is toxic and creepy,OTHER,OTHER,OTHER
smartest thing he said the whole time was his first statement if i were smart i would go home now,CONSERVATIVE,OTHER,OTHER
ill go to moscow with joe on airforce one the surprise on his face when he threw himself that curveball,LIBERAL,OTHER,PRO
schumer looks more and more like the batmans penguin as he ages lol,LIBERAL,OTHER,OTHER
that was a sermon tonight and watching the glad handing after the address was informative as to his cognitive resilience and stamina,LIBERAL,OTHER,OTHER
state of buffoonery,LIBERAL,OTHER,OTHER
this imbecile is the worst representative as a president in the history of this country period,LIBERAL,ANTI,OTHER
i think i threw up in my mouth,CONSERVATIVE,OTHER,OTHER
the fact that part of the audience did not acknowledge the achievements from the biden administration is disgusting these achievements benefit all americans shouldnt that be worth celebrating regardless of what side of the aisle you are republicans are just showing they care more about their vendetta against democrats than the american people disgusting,LIBERAL,OTHER,PRO
its a nice thought biden youve had 4 years to do all these things and look at this country now crumbling,CONSERVATIVE,OTHER,ANTI
stop finding foreign wars keep our money here,CONSERVATIVE,OTHER,OTHER
it would be nice to get someone who represents the majority of this country in office instead of someone who represents people in retirement homes,LIBERAL,OTHER,ANTI
epipens bro epipens add that to the list if it isnt there already,LIBERAL,OTHER,OTHER
this speech was powerful brilliant generous and forceful biden was inspiring in speaking his future oriented goals the republicans can only stumble and fall flat as they try to hold on to an empty past with trump sitting on all their shoulders way too much rancid fat to carry indefinitely with no purpose other than to save the supreme being what a joke these people are,LIBERAL,ANTI,PRO
is it possible that jan 6 bombs found that day were used to force a certification of the election,LIBERAL,OTHER,OTHER
mike cant keep a straight face through all joes lies lol,CONSERVATIVE,OTHER,ANTI
the right stuff,LIBERAL,PRO,OTHER
nothing is better than biden trump is pure d trash,LIBERAL,ANTI,PRO
loving america even if you dont win huh funny as the left has been nothing but rabid over america being racist and horrible and how it must all be torn down and burned until they hold the throne then its all you should never go against your government,CONSERVATIVE,PRO,OTHER
the sooner the true president is back in office the better this man just spews out complete garbage hes good at sniffing hair tho,CONSERVATIVE,PRO,OTHER
maga mike looks like hed rather be having a colonoscopy without sedation,LIBERAL,PRO,OTHER
the country wont last 4 more years thats for sure,CONSERVATIVE,OTHER,OTHER
george santos presence says it all about the gop clown show,LIBERAL,OTHER,OTHER
i feel like i want to like biden as my grandpa honestly i just cant agree with some of his policies,LIBERAL,OTHER,OTHER
it was a state of accusation not a state of union he failed again,CONSERVATIVE,ANTI,OTHER
hes moving on slowmotion,LIBERAL,OTHER,OTHER
joe reveals hes still a delaware street punk never changed what a piece of work,LIBERAL,OTHER,ANTI
america need to enact some bipartisan law that the deficit may not exceed some level exemple 3 of gdp despite record low employment deficit is at record levels over 6 and the route is undustainable because of int rates affecting the deficit neither biden nor trump seems up to taking responsibility i am hoping for a liz truss moment asap so that the route is improved before it is to late,OTHER,OTHER,OTHER
vp kamala was having a good legs workout lol,LIBERAL,OTHER,OTHER
trump 2024 this latina for trump trump this biden administration is the most corrupt and incompetent and dishonest the arrogance these lifer politicians have from us taxpayers is astounding especially they think were dumb by propagating all their lies and always blaming someone else especially trump cause hes the only thats a true american leader not these idiots this latina for trump 2024 trump saved the middle class,CONSERVATIVE,PRO,ANTI
im a true republican not a maga and i am fired up by the presidents address this man is the only choice to keep the orange rat out of the oval office,CONSERVATIVE,ANTI,OTHER
how does marco rubio live with himself,LIBERAL,OTHER,OTHER
its a good think trump signed the insulin executive order that biden reversed now he needed a bill to get the same thing done that was done yea you may think that the deficit but didnt is cut but you added that to us the people you also added all this money from the students that chose to go to that collage to our deficit the kids made the decision and spend all that money for collage not me i should not have to pay their bill i never got a handout like that completely out of touch with the american people we the people are far worse off now costs are way higher gas and food just to name a few cant take 4 more years of this,LIBERAL,PRO,ANTI
biden and the liberals the biggest problem in america right now is racist werewolves not the border,LIBERAL,OTHER,ANTI
yes and who are those children your indoctrinated school system is brainwashing trash being conducted on battlefields schools are not safe in any grade,OTHER,OTHER,OTHER
h8 anger and retribution thats what the democratic party stands for,LIBERAL,OTHER,OTHER
thats bs donald trump bows down to no one,LIBERAL,PRO,OTHER
and what is hoemala standing and clapping foryalls time is up pack ya bags u moving to a new house all of u,LIBERAL,OTHER,OTHER
if you wanna know what gop will not do just look at johnson when he claps and nods and when he doesnt,LIBERAL,OTHER,OTHER
thank yousir see you in the net 4 years,LIBERAL,PRO,OTHER
biden calls out scotus and their role to overturn rove v wade hes not mincing his words and his goal to reinstate womens rights,LIBERAL,OTHER,PRO
i wish i could like this sotu address a thousand times well done president biden we are all proud of you and your accomplishments four more years guaranteed,LIBERAL,OTHER,PRO
omg they do have to chit chat for the longest time no wonder the sotu goes on for so long,LIBERAL,OTHER,OTHER
you know its bad when all comments are turned off on other videos lol im just happy he didnt die and finished the script,CONSERVATIVE,OTHER,OTHER
this man still have the vitality period biden again,LIBERAL,OTHER,PRO
inflation went from 9 percent to 3 percent the chip is the mark of the beast this man is nothing but lies led by evil 4234,CONSERVATIVE,OTHER,OTHER
i thought this was supposed to be a state of the union it was a campaign speech all the way you couldnt run on your record of failures mr president so you stumped instead i am in the middle class and for you to stand there and tell us your economy is great was the biggest lie as my pay check has taken an enormous hit for gas food and taxes to tell us you put forth legislation to stop the border crisis is the biggest lie you put forth an ukraine aid package the republicans rejected rightly so you tried to blame republicans at every turn when all you have to do is follow the law of the us and let the border patrol do their job nothing more than that get out of the way of the border patrol and let them do their job but no you tied their hands and then wonder why governors have to do your job and secure our borders also your attempt at influencing this election process by going after trump for some of the things you yourself did is outrageous colluding with das in georgia and new york to go after your political opponent is reprehensible i hope you are tried for your ill gotten gains along with your son,OTHER,ANTI,OTHER
funny he mentioned the kkk when he was actually close friends with members and even attended his funeral when he passed he is also the same person who put the law into place that places men of color in jailprison longer than their white counterparts imagine being a person of color and voting for someone who actually put bills in to keep the people of color down yikes,LIBERAL,ANTI,OTHER
everyone is well aware you had to be drugged to show up for a speech late everyone can see its a scam and you are stealing our money why not just say we got ya and leave,OTHER,ANTI,OTHER
maga mike johnson looks uncomfortable pursing his lips when potus cites jan6,LIBERAL,PRO,OTHER
we are so happy to see you leave bye,LIBERAL,OTHER,OTHER
who do you want having access to advanced nuclear weapon systems,OTHER,OTHER,OTHER
big fat zero this guy is better at dividing the country then anything else,CONSERVATIVE,OTHER,OTHER
what a bunch of bs,CONSERVATIVE,OTHER,OTHER
biden has no idea on how to unite people he drives the wedge deeper his stupidity was on full display evertine he says my predecessor its followed by what biden hopes is an insult,CONSERVATIVE,OTHER,ANTI
uhh wat happened to god bless the united states of america at the end that solidifies my thoughts of this being a war between good and evil,CONSERVATIVE,OTHER,ANTI
well the sotu has definitely become nothing more than a campaign speech which says a lot about the state of the union doesnt it oh and nice job going after scotus you frickin potemkin puppet,LIBERAL,OTHER,ANTI
this man gets no respect after what he did to the border,CONSERVATIVE,PRO,OTHER
everything is about minorities white is out with democrats,CONSERVATIVE,OTHER,OTHER
so what was this the state of narnia address,OTHER,OTHER,OTHER
fantastic state of the union,LIBERAL,PRO,OTHER
trump in his current mental and physical state would never be capable of what biden accomplished here hobbling to the podium like a senile old man and spewing dementiafueled rantings and mumblings about subjects he has no knowledge of then have a bunch of braindead lemmings clap on cue only biden and the libs could accomplish that,LIBERAL,ANTI,PRO
this clown wants to fund the ukraine war and give free education and health care to hispanics where is the money coming from to fund these country is already trillions in debt taxes are going up,CONSERVATIVE,OTHER,ANTI
m amazed that the comments arent turned off,OTHER,OTHER,OTHER
this guy needs to step down already,CONSERVATIVE,OTHER,OTHER
15 million new jobs available because i gave them a reason to stay at home and not work,CONSERVATIVE,PRO,OTHER
mike johnson shakes his head in disagreement about the low inflation rates at 4110,LIBERAL,OTHER,OTHER
3230 bro please tell me he did not just compare the january 6th riots to the literal civil war,LIBERAL,ANTI,OTHER
and yes trump failed the us when it came to covid19 he sure did and ill never forget,LIBERAL,ANTI,OTHER
now thats a strong presidential speech from a strong leader biden is doing a great job four more years joe,LIBERAL,OTHER,PRO
so what is the state of the union never did catch that,LIBERAL,OTHER,OTHER
this is the first president to be elected by mailin ballot voting what a joke,CONSERVATIVE,PRO,OTHER
ban the illegal crime cartel that calls themselves democratic they are not they hate the constitution and they hate you every one of you registurd democrats support communism and the over throw of our government your ideology does not work it is a lie and you folks support them no democrats never racism and hatred are all your party can produce santos shouldnt have been there but apparently he qualifies as a past member thats weird but hey thanks to liars like schiff and company we kept him on as a controlled vote a move learned by watching you dems,OTHER,PRO,ANTI
i find it hilarious he calls martin luther king his hero when he literally voted against them,LIBERAL,OTHER,OTHER
that was a disgrace,LIBERAL,OTHER,OTHER
ok not that it matters but did anyone else notice that he didnt let the speaker introduce him normally the speaker says like i have the high honor and distinct pleasure of presenting to you the president of the united states but president biden just went into his speech before johnson could get the words out,LIBERAL,OTHER,ANTI
johnson was really uncomfortable when confronted with remembrance of his actions is history,LIBERAL,OTHER,OTHER
my ad blocker ai fact checker wont let it through,OTHER,OTHER,OTHER
green dressed like a cult worshiper sheep,CONSERVATIVE,OTHER,OTHER
maga mike sitting there shaking his head when biden is dropping absolute truth is infuriating his is a most punchable face ridin with biden standin with brandon,LIBERAL,ANTI,PRO
nothing for our military this shows where his priorities are shameful,CONSERVATIVE,OTHER,ANTI
marjorie taylor green is trash,LIBERAL,OTHER,OTHER
that seemed more like a campaign speech rather than state of the union address i would rather see actual facts and figures than grandstanding just for the record i dont like trump or biden i really think our best choice for recovery is kennedy but that is just me i also dont like the outburst on either side we have lost respect and need a change in our society the 2 party system has failed us,OTHER,ANTI,ANTI
get magas out of government,LIBERAL,ANTI,OTHER
you are killing the middle class but jesus will have the final words i guarantee that,CONSERVATIVE,OTHER,OTHER
and illegals to take the jobs joe,CONSERVATIVE,OTHER,ANTI
calling for a ceasefire in gaza numerous times while advocating to send billions of dollars to israel to buy more american weapons to use on gaza,LIBERAL,OTHER,OTHER
why is that old man so angry,LIBERAL,OTHER,OTHER
reform the tax system,LIBERAL,OTHER,OTHER
me and my wife has paid over 17k in taxes amd made 105k and you sick individuals think this is right plus i need to pay 1476 dollars into federal tax more because you dirt bags think its not enough,LIBERAL,OTHER,OTHER
reform the banking system,LIBERAL,OTHER,OTHER
3301 the threat of democracy must be defended the guy tells you to your face and you all cheer shame,LIBERAL,OTHER,OTHER
america is a game to be won at the expense or all of us even the world look at the room its obvious,LIBERAL,OTHER,OTHER
reform the hospital system,LIBERAL,OTHER,OTHER
reform the prison system,LIBERAL,OTHER,OTHER
3013 so the entire gop leadership is fine with a former us president telling a dictator to go nuts on whoever however he wants good to know also what is george santos doing there these people have no shame,LIBERAL,OTHER,PRO
they clapping like they clap for kim jun un,CONSERVATIVE,OTHER,OTHER
seriously mike johnson you are the speaker of the house and you dont stand for the president of united states regardless of partythat is extremely disrespectful sir,LIBERAL,OTHER,OTHER
biden wants us to have factories but he also wants them unionized unions do not work unions are lies they can not guarantee you anything at all they can not force a company to pay you a wage they can go on strike then you are out of work no pay you cant get unemployment while on strike but they dont tell you that they dont give all the details oh and dont pay your dues and watch what happens to you these unions do not care about you they only care about their pockets and you paying them dues not to mention a lot of the costumers of these factories will return to their home country honda is one of them honda has already said that if our company goes unionized they will move their factories back overseas and be done uaw president is a friend of his what a shocker i am him pushing factories to unionize has nothing to do with the fact they are friends i am sure he wont get his pockets lined insert eye rolls,OTHER,PRO,ANTI
all talk all talk to meall i see is that the us is in turmoil,CONSERVATIVE,OTHER,OTHER
absolutely impossible to imaging trump being able to articulate issues this profoundly and with such understanding and empathy,LIBERAL,PRO,OTHER
save babys lifes,OTHER,OTHER,OTHER
this was horrible,LIBERAL,OTHER,OTHER
sounds more like a campaign speech i guess thats the only place he can draw a crowd,CONSERVATIVE,OTHER,OTHER
what a disgrace moscow mike in the history for ever,LIBERAL,OTHER,ANTI
at 400 lindsey graham you should be ashamed of yourself your very good friend john mccain would be embarrassed for having known you you should hang your head in shame and retire immediately you do not deserve to be in congress go live behind the largest rock or mountain out west somewhere and never raise your traitorousness head again,LIBERAL,PRO,OTHER
did not adress the deficit,LIBERAL,OTHER,OTHER
better get some coffee them red tie wearing republicans they look real constipated,LIBERAL,OTHER,OTHER
all those jobs going to non americans i didnt hear about the border did you,CONSERVATIVE,PRO,OTHER
why is this man such a lier,CONSERVATIVE,ANTI,OTHER
start booking ur one way flights on inauguration day out of the countryin case the worse case scenario happens n this clown wins again lol get the refund for if trump wins u can get ur back,CONSERVATIVE,OTHER,ANTI
sickening what a disaster american politicians are vile creatures the comments praising this are very disturbing too why was he late changing diapers all i can say is the usa is in a serious downward spiral,OTHER,OTHER,OTHER
5220 remember when trump said hed have the best healthcare plan to replace the disaster of obamacare and never did,LIBERAL,ANTI,OTHER
im a trumper but i cant stand the disrespect that those people are showing regardless of whos side ur on we should always show respect during these thingsthe world is watching its embarrassingvote trump2024,OTHER,PRO,OTHER
biden is the greatest enemy american has ever faced he destroyed our economy,CONSERVATIVE,OTHER,ANTI
this is what a president should do protect the country all trump worries about is himself,LIBERAL,ANTI,OTHER
4 more years,LIBERAL,PRO,OTHER
read by 3rd grade what planet are we living on i come from an era where reading began in first grade and my daughter from my single mother broken home that had plenty of books thanks for painting a negative strereotype of me seems rather antiwoman to do so was reading at three by third grade she was reading at seventh grade levels,LIBERAL,OTHER,ANTI
4 more years thankyou joe,LIBERAL,OTHER,PRO
they clap like trained animals,CONSERVATIVE,OTHER,OTHER
can we have comedy club rules here and just remove that disruptive individual from the building,LIBERAL,OTHER,OTHER
one of the best state of the union addresses ive ever heard,LIBERAL,PRO,OTHER
a nation that can hurt ukraine badly that is what dems want to be proud of sure zelensky is in on it after all i do believe ukraine is one corrupt place,CONSERVATIVE,PRO,ANTI
no more tax cuts for the wealthy and big companies,LIBERAL,OTHER,PRO
we all know he is smart look at the millions hes made himself and the trillions hes cost us,CONSERVATIVE,ANTI,OTHER
all harris can do is stand up an clap thats all she has lies lies lies very sad the people who support this garbage god help us all,CONSERVATIVE,OTHER,ANTI
brilliant,LIBERAL,OTHER,OTHER
i wish everything he said was true biden has the country in freefall i feel bad when i see babies because they wont live in the country we all once did,CONSERVATIVE,PRO,ANTI
disastrous and sad ive only felt more embarrassed with our country during the withdrawal failure from afghanistan,LIBERAL,OTHER,ANTI
is there anyone more cowardly than speaker johnson there were so many things biden said that everyone should be able to get behind regardless of party,LIBERAL,OTHER,PRO
why republicans look miserable or they have been subjected to shame because of their failures,LIBERAL,OTHER,OTHER
what is happening at 11706 i hear screaming but cant make it out,OTHER,OTHER,OTHER
stop trump from stealing the election demand voter id and signature verification,CONSERVATIVE,ANTI,OTHER
should be renamed to state of ukrain union 10million illegals entered in your 4 years 35 trillion in debt shrinkflation woke communist school agenda destroying the youth low military recruitingretention numbers covid authoritarian law gas bills groceries those are my concerns as a citizenvoter not ukraine its been 2 years and you keep saying that ukraine will win you have no end goal a treaty neededs to be drafted before americas youth gets drafted,OTHER,PRO,ANTI
youtube ads on the state of the unionnice,LIBERAL,OTHER,OTHER
this guy is a clown what a disgrace to the entire world,CONSERVATIVE,OTHER,OTHER
i have no clever way to say how much i appreciate joe biden yes he is elderly but he is giving his last few years on earth to make this country the nation we like to think we are,LIBERAL,OTHER,PRO
johnson is helping tump out,OTHER,PRO,OTHER
repubs looking lonely,LIBERAL,OTHER,OTHER
biden clearly expects for his democratic followers not to have a clue whats actually going on such ignorance is staggering but then when your leader states its the killing of the unborn that got him elected and will get him elected again because abortion is his top priority sick,LIBERAL,OTHER,ANTI
the party told you to reject the evidence of your eyes and ears it was their final most essential command george orwell 1984,LIBERAL,OTHER,OTHER
joe biden go away please,CONSERVATIVE,OTHER,ANTI
looks like a room full of criminals to me,CONSERVATIVE,OTHER,OTHER
3858 hes absolutely right trump openly and loudly contemplated the political advantage of letting the virus infect blue states and cities he discouraged surveillance testing to keep the numbers low held rallies that ended up infecting and killing his supporters rip herman cain and never demonstrated humility or humanity as the virus raged im a critical care nurse that saw the sickest of the sick throughout the pandemic i still see the eyes of the dead in my memory donald trump is odious to me,LIBERAL,ANTI,OTHER
im watching mike johnson even he has a hard time not agreeing that president biden has done a great job hes clapping under the table hes nodding his head i wonder what his boss is going to do to him now,OTHER,OTHER,PRO
abortion is murder,CONSERVATIVE,OTHER,OTHER
lol luv how mike tries to keep a straight face during some of scotus comments,LIBERAL,OTHER,OTHER
what a bunch of bs lots of talk and no meaningful action stop sending our tax money as weapons to israel so they can murder palestinians while also throwing crumbs at the and people in gaza thats hypocrisy stop sending weapons to ukraine they are a lost cause and use that money to fix the rotting roads fix our education system and teach our kids real subjects ie math science not bs crap like gender studies and what pronouns to use,OTHER,OTHER,ANTI
dark brandon out mic drop,LIBERAL,OTHER,OTHER
he says very little about the actual state of the union and more about how good he is and how horrible the republicans are they must have him so drugged up for him to be up that late and be able to speak that must be some pretty powerful stuff now hes going to need a long vacation,LIBERAL,ANTI,OTHER
this guy is a joke he didnt do anything but attempt to blame trump for everything,LIBERAL,ANTI,OTHER
the worst president ever,CONSERVATIVE,ANTI,OTHER
ugh the lies,LIBERAL,OTHER,OTHER
why cant those who still support joe biden just let go of their hate for anyone who doesnt think exactly like them this darkness will lead only to selfdestruction stop for your own sakes,OTHER,OTHER,ANTI
4 more cups of joe,OTHER,OTHER,OTHER
seeing him in this manner makes me proud to be american go joe you are amazing your son is also shown such remarkable coourage style and grace while certain members of our congress try to destroy him the biden family are an tough as nails and who need need leading us,LIBERAL,OTHER,PRO
president joe biden was magnificent he needs 2 speak like this all the time,LIBERAL,OTHER,PRO
mike johnson is terrible at hiding his face,OTHER,OTHER,OTHER
if i were smart id go home now but hes not so let the comedy begin,CONSERVATIVE,OTHER,OTHER
how the hades can this pos stand there with a straight face and claim our economy is great when most of us are poorer than we were four years ago,LIBERAL,ANTI,OTHER
president biden you cant love america only when you win republicans should remember that and especially trump,LIBERAL,ANTI,PRO
all are corrupt guy put a bill to help border and the ones that are the most complainers decline it how is that something is something,CONSERVATIVE,OTHER,OTHER
close the border and then close your mouth,CONSERVATIVE,PRO,OTHER
